FREQ,REF_AREA,COMMODITY,TRANSACTION,UNIT_MEASURE,obsTime,obsValue,UNIT_MULT,OBS_STATUS
A,004,7000T,01CL,GWHR,2001,42.6,0,E
A,004,7000T,01CL,GWHR,2002,42.3,0,E
A,004,7000T,01CL,GWHR,2003,88,0,E
A,004,7000T,01CL,GWHR,2004,61,0,E
A,004,7000T,01CL,GWHR,2005,61,0,E
A,004,7000T,01CL,GWHR,2006,154,0,E
A,004,7000T,01CL,GWHR,2007,154,0,E
A,004,7000T,01CL,GWHR,2008,133,0,E
A,004,7000T,01CL,GWHR,2009,61,0,E
A,004,7000T,01CL,GWHR,2010,58,0,E
A,004,7000T,01CL,GWHR,2011,104,0,E
A,004,7000T,01CL,GWHR,2012,72,0,E
A,004,7000T,01CL,GWHR,2013,122,0,E
A,004,7000T,01CL,GWHR,2014,106,0,E
A,004,7000T,01CL,GWHR,2015,98.2,0,E
A,004,7000T,01CL,GWHR,2016,92.7,0,E
A,004,7000T,01CL,GWHR,2017,114.26,0,E
A,004,7000T,01CL,GWHR,2018,118.93,0,E
A,004,7000T,01CL,GWHR,2019,82.69,0,E
A,004,7000T,01DL,GWHR,2000,169,0,E
A,004,7000T,01DL,GWHR,2001,142,0,E
A,004,7000T,01DL,GWHR,2002,105.6,0,E
A,004,7000T,01DL,GWHR,2003,183,0,E
A,004,7000T,01DL,GWHR,2004,171,0,E
A,004,7000T,01DL,GWHR,2005,171,0,E
A,004,7000T,01DL,GWHR,2006,110,0,E
A,004,7000T,01DL,GWHR,2007,109,0,E
A,004,7000T,01DL,GWHR,2008,111,0,E
A,004,7000T,01DL,GWHR,2009,50,0,E
A,004,7000T,01DL,GWHR,2010,64,0,E
A,004,7000T,01DL,GWHR,2011,69,0,E
A,004,7000T,01DL,GWHR,2012,69,0,E
A,004,7000T,01DL,GWHR,2013,93,0,E
A,004,7000T,01DL,GWHR,2014,50,0,E
A,004,7000T,01DL,GWHR,2015,48,0,E
A,004,7000T,01DL,GWHR,2016,59,0,E
A,004,7000T,01DL,GWHR,2017,59,0,E
A,004,7000T,01DL,GWHR,2018,78,0,E
A,004,7000T,01DL,GWHR,2019,97,0,E
A,004,7000T,01RF,GWHR,2000,3,0,E
A,004,7000T,01RF,GWHR,2001,3.3,0,E
A,004,7000T,01RF,GWHR,2002,3.3,0,E
A,004,7000T,01RF,GWHR,2003,3,0,E
A,004,7000T,01RF,GWHR,2004,0,0,E
A,004,7000T,01RF,GWHR,2005,3,0,E
A,004,7000T,01RF,GWHR,2006,3,0,E
A,004,7000T,01RF,GWHR,2007,3,0,E
A,004,7000T,01RF,GWHR,2008,3,0,E
A,004,7000T,01RF,GWHR,2009,3,0,E
A,004,7000T,01RF,GWHR,2010,3,0,E
A,004,7000T,01RF,GWHR,2011,3,0,E
A,004,7000T,01RF,GWHR,2012,3,0,E
A,004,7000T,01RF,GWHR,2013,3,0,E
A,004,7000T,01RF,GWHR,2014,3,0,E
A,004,7000T,01RF,GWHR,2015,3,0,E
A,004,7000T,01RF,GWHR,2016,3,0,E
A,004,7000T,01RF,GWHR,2017,3,0,E
A,004,7000T,01RF,GWHR,2018,3,0,E
A,004,7000T,01RF,GWHR,2019,3,0,E
A,008,7000T,01PP,GWHR,2009,0.87,0,A
A,008,7000T,01PP,GWHR,2010,0.87,0,A
A,008,7000T,01PP,GWHR,2011,59.3,0,A
A,008,7000T,01RF,GWHR,2000,144,0,A
A,008,7000T,01RF,GWHR,2001,137,0,A
A,008,7000T,01RF,GWHR,2002,107,0,A
A,008,7000T,01RF,GWHR,2003,81,0,A
A,008,7000T,01RF,GWHR,2004,76,0,A
A,008,7000T,01RF,GWHR,2005,77,0,A
A,008,7000T,01RF,GWHR,2006,93,0,A
A,008,7000T,01RF,GWHR,2007,72,0,A
A,008,7000T,01RF,GWHR,2008,72.1,0,A
A,012,7000T,01DL,GWHR,2000,773,0,A
A,012,7000T,01DL,GWHR,2001,775,0,A
A,012,7000T,01DL,GWHR,2002,597,0,A
A,012,7000T,01DL,GWHR,2003,687,0,A
A,012,7000T,01DL,GWHR,2004,687,0,A
A,012,7000T,01DL,GWHR,2005,717,0,A
A,012,7000T,01DL,GWHR,2006,750,0,A
A,012,7000T,01DL,GWHR,2007,794,0,A
A,012,7000T,01DL,GWHR,2008,792,0,A
A,012,7000T,01DL,GWHR,2009,607,0,A
A,012,7000T,01DL,GWHR,2010,964,0,A
A,012,7000T,01DL,GWHR,2011,1068,0,A
A,012,7000T,01DL,GWHR,2012,1059,0,A
A,012,7000T,01DL,GWHR,2013,902,0,A
A,012,7000T,01DL,GWHR,2014,638,0,A
A,012,7000T,01DL,GWHR,2015,908,0,A
A,012,7000T,01DL,GWHR,2016,906,0,A
A,012,7000T,01DL,GWHR,2017,980,0,E
A,012,7000T,01DL,GWHR,2018,986,0,E
A,012,7000T,01DL,GWHR,2019,980,0,E
A,012,7000T,01NG,GWHR,2000,24585,0,A
A,012,7000T,01NG,GWHR,2001,25781,0,A
A,012,7000T,01NG,GWHR,2002,26994,0,A
A,012,7000T,01NG,GWHR,2003,28619,0,A
A,012,7000T,01NG,GWHR,2004,30312,0,A
A,012,7000T,01NG,GWHR,2005,31603,0,E
A,012,7000T,01NG,GWHR,2006,34258,0,A
A,012,7000T,01NG,GWHR,2007,36176,0,A
A,012,7000T,01NG,GWHR,2008,39161,0,A
A,012,7000T,01NG,GWHR,2009,37588,0,A
A,012,7000T,01NG,GWHR,2010,44596,0,A
A,012,7000T,01NG,GWHR,2011,49654,0,A
A,012,7000T,01NG,GWHR,2012,55716,0,A
A,012,7000T,01NG,GWHR,2013,58658,0,A
A,012,7000T,01NG,GWHR,2014,63350,0,A
A,012,7000T,01NG,GWHR,2015,67668,0,A
A,012,7000T,01NG,GWHR,2016,69755,0,A
A,012,7000T,01NG,GWHR,2017,74403,0,E
A,012,7000T,01NG,GWHR,2018,74894,0,E
A,012,7000T,01NG,GWHR,2019,79711,0,E
A,016,7000T,01DL,GWHR,2000,169,0,A
A,016,7000T,01DL,GWHR,2001,171,0,A
A,016,7000T,01DL,GWHR,2002,178.6,0,A
